id,name,gender,date,period,inscription_name
1,Clodius,male,"72-74, 71-75",C,"CIL 04, 00752, CIL 04, 03502, CIL 04, 03716, CIL 04, 07712, CIL 04 08168c, CIL 04, 08556"
2,M Clodius Ampliatus,male,,,"CIL 04, 03340.66, CIL 04, 03340.97"
3,A Clodius Flaccus,male,"-20â€“10, -2, -10-3, -27-14",A,"CIL 10, 00793, CIL 10, 00890, CIL 10, 00936, CIL 10, 00960, CIL 10, 01074d"
4,Marcus Holconius Priscus,male,,,"CIL 04, 00752"
5,Sabinus,male,,,"CIL 04, 03716"
6,Marcus Livius Secundus,male,,,"CIL 04, 03340.66"
7,Lucius Caecilius Iucundus,male,,,"CIL 04, 03340.66"
8,Lucius Melissaeus Fuscus,male,,,"CIL 04, 03340.66"
9,Laelius Trophimus,male,,,"CIL 04, 03340.66"
10,Nerius Hyginus,male,,,"CIL 04, 03340.66"
11,Titus Sornus Eutychius,male,,,"CIL 04, 03340.66"
12,Livineius Eutactus,male,,,"CIL 04, 03340.66"
13,Livius Secundus,male,,,"CIL 04, 03340.66"
14,Vesonius,male,,,"CIL 04, 03340.66"
15,Gnaeus Polius Turdus,male,,,"CIL 04, 03340.97"
16,Marcus Fabius Thelus,male,,,"CIL 04, 03340.97"
17,Marcus Fabius Euporus,male,,,"CIL 04, 03340.97"
18,Aulus,male,,,"CIL 10, 00793"
19,Numerius Arcaeus Arellianus Caledus,male,,,"CIL 10, 00793"
20,Numerius ,male,,,"CIL 10, 00793"
21,Aulus Veius Phylax,male,,,"CIL 10, 00890"
22,Numerius Popidius Moschus,male,,,"CIL 10, 00890"
23,Titus Mescinius Amphio,male,,,"CIL 10, 00890"
24,Primus,male,,,"CIL 10, 00890"
25,Marcus Arruntius,male,,,"CIL 10, 00890"
26,Marcus Holconius Rufus,male,,,"CIL 10, 00890"
27,Publius Caesetius Postumus,male,,,"CIL 10, 00890"
28,Numerius Tintirius Rufus,male,,,"CIL 10, 00890"
29,Marcus Plautius Silvanus,male,,,"CIL 10, 00890"
30,Emperor,male,,,"CIL 10, 00890"
31,Titus Sornius,male,,,"CIL 10, 00960"
32,Titus,male,,,"CIL 10, 00960"
33,Claudia,female,,,"CIL 10, 01074d"
34,Claudius Nymphodotus,male,,,"CIL 04, 00901"
35,Aulus Suettius Certus,male,,,"CIL 04, 00901"
36,Clodius Primogenes,male,,,"CIL 04, 01105"
37,Vibius Receptus,male,,,"CIL 04, 01105"
38,Lucius Clodius Alypus,male,1-79,B,"CIL 04, 01548"
39,Aulus Clodius Masculus,male,,,"CIL 04, 01870a"
40,Marcus Clodius Primio,male,,,"CIL 04, 02147"
41,Lucius Clodius Varus,male,,,"CIL 04, 02321"
42,Pelagia,female,,,"CIL 04, 02321"
43,Onesimus Clodius Facetus,male,,,"CIL 04, 04445"
44,Clodius M,male,,,"CIL 04, 11810"
45,Aulus Clodius,male,,,"CIL 10, 01074c"
46,Marcus ,male,,,"CIL 10, 01074c"
47,Aulus Clodius Faustus,male,51-70,C,EDCS-61900135
48,Aulus Claudius Pompeianus,male,,,EDCS-61900136
49,Aulus,male,,,EDCS-61900136
50,Marcus Mundicius Malchio,male,1-50,B,EDCS-31300259
51,Marcus Claudius Agatho,male,1-50,B,EDCS-31300259
52,Aulus Clodius Iustus,male,51-70,C,EDCS-61900132
53,Aulus Clodius Aegialus,male,51-70,C,EDCS-61900132
54,Tironia Repentina,female,51-70,C,EDCS-61900132
